FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,NO_PLN,AREA_KM2,TOT_POP,TOT_HHOLD,POP_DEN,HHOLD_DEN,MID,PLN_GRID,X,Y,Longitude,Latitude
3603,NUSA TENGGARA TIMUR,ILE APE,PALILOLON,53,08,030,022,5308030022,LEMBATA,BADAN PUSAT STATISTIK,5308030,POLY,0,5308030022,53,NUSA TENGGARA TIMUR,8,LEMBATA,30,ILE APE,22,PALILOLON,89,100,58,0,54,0,58,2.347825,189,58,80.50004,24.703716,0.201196,0,13735473.0526,-923291.607926,123.387854,-8.265253
3610,NUSA TENGGARA TIMUR,ILE APE TIMUR,LAMAWOLO,53,08,031,003,5308031003,LEMBATA,BADAN PUSAT STATISTIK,5308031,POLY,0,5308031003,53,NUSA TENGGARA TIMUR,8,LEMBATA,31,ILE APE TIMUR,3,LAMAWOLO,168,238,126,0,126,0,126,5.760833,406,126,70.475919,21.871837,0.213824,0,13751391.0449,-924944.225647,123.530848,-8.279945
3623,NUSA TENGGARA TIMUR,LEBATUKAN,BALUREBONG,53,08,040,013,5308040013,LEMBATA,BADAN PUSAT STATISTIK,5308040,POLY,0,5308040013,53,NUSA TENGGARA TIMUR,8,LEMBATA,40,LEBATUKAN,13,BALUREBONG,168,188,98,0,3,0,98,19.19349,356,98,18.547956,5.105898,0.442552,0,13766826.6003,-938230.953939,123.669507,-8.398039
3630,NUSA TENGGARA TIMUR,LEBATUKAN,WAIENGA,53,08,040,006,5308040006,LEMBATA,BADAN PUSAT STATISTIK,5308040,POLY,0,5308040006,53,NUSA TENGGARA TIMUR,8,LEMBATA,40,LEBATUKAN,6,WAIENGA,398,427,224,106,38,0.473214,118,8.041948,825,224,102.587087,27.853949,0.189477,0,13758390.602,-933117.770899,123.593726,-8.352597
3632,NUSA TENGGARA TIMUR,LEBATUKAN,TAPOBARAN,53,08,040,007,5308040007,LEMBATA,BADAN PUSAT STATISTIK,5308040,POLY,0,5308040007,53,NUSA TENGGARA TIMUR,8,LEMBATA,40,LEBATUKAN,7,TAPOBARAN,176,183,97,0,76,0,97,14.661743,359,97,24.485493,6.615857,0.388783,0,13758529.0089,-928069.14296,123.594969,-8.307723
3635,NUSA TENGGARA TIMUR,NUBATUKAN,BELOBATANG,53,08,050,001,5308050001,LEMBATA,BADAN PUSAT STATISTIK,5308050,POLY,0,5308050001,53,NUSA TENGGARA TIMUR,8,LEMBATA,50,NUBATUKAN,1,BELOBATANG,160,160,102,0,24,0,102,2.149411,320,102,148.878004,47.454864,0.145164,0,13733229.2584,-943889.133916,123.367697,-8.448319
3636,NUSA TENGGARA TIMUR,NUBATUKAN,UDAK MELOMATA,53,08,050,002,5308050002,LEMBATA,BADAN PUSAT STATISTIK,5308050,POLY,0,5308050002,53,NUSA TENGGARA TIMUR,8,LEMBATA,50,NUBATUKAN,2,UDAK MELOMATA,116,123,78,0,35,0,78,3.567474,239,78,66.99419,21.864213,0.213862,0,13734908.9601,-943151.313929,123.382786,-8.441763
3638,NUSA TENGGARA TIMUR,NUBATUKAN,LITEULUMADO,53,08,050,013,5308050013,LEMBATA,BADAN PUSAT STATISTIK,5308050,POLY,0,5308050013,53,NUSA TENGGARA TIMUR,8,LEMBATA,50,NUBATUKAN,13,LITEULUMADO,97,102,58,0,58,0,58,9.814959,199,58,20.275174,5.909347,0.411368,0,13744151.5265,-937584.557469,123.465814,-8.392295
3639,NUSA TENGGARA TIMUR,NUBATUKAN,LEWOLEBA TIMUR,53,08,050,012,5308050012,LEMBATA,BADAN PUSAT STATISTIK,5308050,POLY,0,5308050012,53,NUSA TENGGARA TIMUR,8,LEMBATA,50,NUBATUKAN,12,LEWOLEBA TIMUR,1640,1520,809,475,334,0.587145,334,5.675723,3160,809,556.757239,142.536901,0.08376,0,13744153.6157,-934834.396501,123.465833,-8.367853
3645,NUSA TENGGARA TIMUR,NUBATUKAN,PAOBOKOL,53,08,050,005,5308050005,LEMBATA,BADAN PUSAT STATISTIK,5308050,POLY,0,5308050005,53,NUSA TENGGARA TIMUR,8,LEMBATA,50,NUBATUKAN,5,PAOBOKOL,135,149,80,0,59,0,80,4.91742,284,80,57.753862,16.268694,0.247927,0,13733298.8689,-942349.261413,123.368323,-8.434636
3646,NUSA TENGGARA TIMUR,NUBATUKAN,BAKALEREK,53,08,050,015,5308050015,LEMBATA,BADAN PUSAT STATISTIK,5308050,POLY,0,5308050015,53,NUSA TENGGARA TIMUR,8,LEMBATA,50,NUBATUKAN,15,BAKALEREK,180,182,96,0,26,0,96,2.592713,362,96,139.622092,37.026853,0.164339,0,13735250.6754,-939735.238973,123.385856,-8.411407
3651,NUSA TENGGARA TIMUR,NUBATUKAN,LEWOLEBA BARAT,53,08,050,008,5308050008,LEMBATA,BADAN PUSAT STATISTIK,5308050,POLY,0,5308050008,53,NUSA TENGGARA TIMUR,8,LEMBATA,50,NUBATUKAN,8,LEWOLEBA BARAT,1526,1583,866,750,116,0.866051,116,3.977745,3109,866,781.598608,217.711288,0.067773,0,13734624.7869,-938327.841622,123.380234,-8.3989
