FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,PLN_HHOLD,DESA_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,Longitude,Latitude,CLUST_POP,Clust_Code
6895,NUSA TENGGARA TIMUR,PINUPAHAR,MAHA NIWA,53,2,21,6,5302021006,0,642,0,124,0,120.175867,-10.026448,642,530202100601
6927,NUSA TENGGARA TIMUR,PABERIWAI,KANANGGAR,53,2,30,10,5302030010,0.252396,1364,0.270463,281,76,120.36218,-10.043263,1075,530203001001
6925,NUSA TENGGARA TIMUR,PABERIWAI,KANANGGAR,53,2,30,10,5302030010,0.252396,1364,0.270463,281,76,120.362974,-10.04532,147,530203001002
6920,NUSA TENGGARA TIMUR,PABERIWAI,KANANGGAR,53,2,30,10,5302030010,0.252396,1364,0.270463,281,76,120.36574,-10.045553,142,530203001003
6933,NUSA TENGGARA TIMUR,PABERIWAI,PRAI MBANA,53,2,30,20,5302030020,0,679,0.00578,173,1,120.464646,-10.016349,679,530203002001
6862,NUSA TENGGARA TIMUR,KARERA,PRAI SALURA,53,2,31,1,5302031001,0,488,0,118,0,120.173802,-10.317085,488,530203100101
6885,NUSA TENGGARA TIMUR,KARERA,PRAIMADITA,53,2,31,2,5302031002,0.059761,2035,0.152381,420,64,120.195828,-10.209515,549,530203100201
6884,NUSA TENGGARA TIMUR,KARERA,PRAIMADITA,53,2,31,2,5302031002,0.059761,2035,0.152381,420,64,120.178834,-10.197583,540,530203100202
6883,NUSA TENGGARA TIMUR,KARERA,PRAIMADITA,53,2,31,2,5302031002,0.059761,2035,0.152381,420,64,120.187372,-10.206413,336,530203100203
6880,NUSA TENGGARA TIMUR,KARERA,PRAIMADITA,53,2,31,2,5302031002,0.059761,2035,0.152381,420,64,120.179966,-10.2186,196,530203100204
6879,NUSA TENGGARA TIMUR,KARERA,PRAIMADITA,53,2,31,2,5302031002,0.059761,2035,0.152381,420,64,120.196425,-10.21817,192,530203100205
6876,NUSA TENGGARA TIMUR,KARERA,PRAIMADITA,53,2,31,2,5302031002,0.059761,2035,0.152381,420,64,120.187904,-10.215688,161,530203100206
6872,NUSA TENGGARA TIMUR,KARERA,PRAIMADITA,53,2,31,2,5302031002,0.059761,2035,0.152381,420,64,120.116772,-10.180564,61,530203100207
6909,NUSA TENGGARA TIMUR,KARERA,NGGONGI,53,2,31,3,5302031003,0.243956,1915,0.285714,406,116,120.261952,-10.181191,988,530203100301
6913,NUSA TENGGARA TIMUR,KARERA,NGGONGI,53,2,31,3,5302031003,0.243956,1915,0.285714,406,116,120.268783,-10.189957,927,530203100302
6907,NUSA TENGGARA TIMUR,KARERA,TANDULA JANGGA,53,2,31,4,5302031004,0,609,0.009434,106,1,120.277988,-10.179775,609,530203100401
6931,NUSA TENGGARA TIMUR,KARERA,JANGGA MANGU,53,2,31,10,5302031010,0,759,0,181,0,120.329644,-10.102888,489,530203101001
6924,NUSA TENGGARA TIMUR,KARERA,JANGGA MANGU,53,2,31,10,5302031010,0,759,0,181,0,120.337848,-10.0919,270,530203101002
6877,NUSA TENGGARA TIMUR,KARERA,ANANJAKI,53,2,31,12,5302031012,0.189474,815,0.381818,165,63,120.210318,-10.199804,424,530203101201
6882,NUSA TENGGARA TIMUR,KARERA,ANANJAKI,53,2,31,12,5302031012,0.189474,815,0.381818,165,63,120.220302,-10.204869,281,530203101202
6878,NUSA TENGGARA TIMUR,KARERA,ANANJAKI,53,2,31,12,5302031012,0.189474,815,0.381818,165,63,120.235629,-10.244198,73,530203101203
6881,NUSA TENGGARA TIMUR,KARERA,ANANJAKI,53,2,31,12,5302031012,0.189474,815,0.381818,165,63,120.237549,-10.244489,38,530203101204
6926,NUSA TENGGARA TIMUR,MATAWAI LA PAWU,WANGGAMETI,53,2,32,2,5302032002,0,489,0.020202,99,2,120.301284,-10.085303,245,530203200201
6921,NUSA TENGGARA TIMUR,MATAWAI LA PAWU,WANGGAMETI,53,2,32,2,5302032002,0,489,0.020202,99,2,120.278253,-10.07975,244,530203200202
6928,NUSA TENGGARA TIMUR,MATAWAI LA PAWU,KATIKUTANA,53,2,32,4,5302032004,0.027682,1118,0.008,250,2,120.28201,-10.018839,475,530203200401
6930,NUSA TENGGARA TIMUR,MATAWAI LA PAWU,KATIKUTANA,53,2,32,4,5302032004,0.027682,1118,0.008,250,2,120.253955,-10.045075,231,530203200402
7005,NUSA TENGGARA TIMUR,MATAWAI LA PAWU,KATIKUTANA,53,2,32,4,5302032004,0.027682,1118,0.008,250,2,120.244289,-9.994449,214,530203200403
7011,NUSA TENGGARA TIMUR,MATAWAI LA PAWU,KATIKUTANA,53,2,32,4,5302032004,0.027682,1118,0.008,250,2,120.265191,-9.981752,198,530203200404
6929,NUSA TENGGARA TIMUR,MATAWAI LA PAWU,PRAI BOKUL,53,2,32,5,5302032005,0.276119,1407,0.342412,257,88,120.294522,-10.011093,1226,530203200501
