FID,KODE_UNSUR,PELAKSANA,TOPONIM,UPDATED,F_AREA,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,TOT_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,CLUSTAREA,CLUSTRATIO,CLUSTPOP,Sum_CLUSTA,Longitude,Latitude,X,Y
50,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,22507.92675,MALUKU UTARA,SULA BESI TIMUR,BALEHA,82,3,22,3,8203022003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,345,333,206,0,13,0,678,0.009009,111,1,0.022508,0.314076,213,0.071664,126.058839,-2.391966,840240,9735235
51,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,58861.8709,MALUKU UTARA,SULA BESI TIMUR,WAI GOYOFA,82,3,22,4,8203022004,KEPULAUAN SULA,BADAN PUSAT STATISTIK,233,227,97,0,7,0,463,0,83,0,0.058862,1,463,0.058862,126.044352,-2.365467,838633,9738172
52,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,90837.86914,MALUKU UTARA,SULA BESI TIMUR,SAMA,82,3,22,5,8203022005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,296,306,120,0,10,0,611,0,92,0,0.090838,0.690687,422,0.131518,126.07028,-2.430087,841504,9731013
53,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,5581.806175,MALUKU UTARA,SULA BESI TIMUR,SAMA,82,3,22,5,8203022005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,296,306,120,0,10,0,611,0,92,0,0.005582,0.042441,26,0.131518,126.065873,-2.409419,841019,9733301
54,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,35098.51136,MALUKU UTARA,SULA BESI TIMUR,SAMA,82,3,22,5,8203022005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,296,306,120,0,10,0,611,0,92,0,0.035099,0.266872,163,0.131518,126.06388,-2.405849,840798,9733697
55,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,23518.75918,MALUKU UTARA,SULA BESI TIMUR,WAISEPA,82,3,22,6,8203022006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,103,104,41,0,4,0,209,0,34,0,0.023519,1,209,0.023519,126.052243,-2.381592,839508,9736385
56,50102,"EKSA ANUGRAH MANDIRI, PT.",POHEA,20070813,66658.7197,MALUKU UTARA,SANANA UTARA,POHEA,82,3,23,1,8203023001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,577,516,235,230,0,0.978723,1144,0.603448,232,140,0.066659,0.753235,862,0.088497,125.968734,-2.005558,830293,9778025
57,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,21837.8569,MALUKU UTARA,SANANA UTARA,POHEA,82,3,23,1,8203023001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,577,516,235,230,0,0.978723,1144,0.603448,232,140,0.021838,0.246765,282,0.088497,125.95346,-1.988873,828596,9779875
58,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,6957.23285,MALUKU UTARA,SANANA UTARA,FUKWEU,82,3,23,2,8203023002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,362,339,153,127,26,0.830065,680,0.688525,122,84,0.006957,0.119965,82,0.057994,125.933362,-1.982361,826359,9780600
59,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,51036.68795,MALUKU UTARA,SANANA UTARA,FUKWEU,82,3,23,2,8203023002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,362,339,153,127,26,0.830065,680,0.688525,122,84,0.051037,0.880035,598,0.057994,125.932954,-1.98024,826314,9780834
